
B597:  0.0%
B598: ** 14.0%
B599: ** 14.0%
B600: ******** 42.0%
B601: ***** 28.0%
B602: ***** 28.0%
B603: ** 14.0%
B604: ** 14.0%
B605:  0.0%
B606: ** 14.0%
B607:  0.0%
B608: ***** 28.0%
B609: ** 14.0%
B610: ** 14.0%
B611: ***** 28.0%
B612: ***** 28.0%
B613: ******** 42.0%
B614:  0.0%
B615: ** 14.0%
B616: ** 14.0%
B617: *********** 57.0%
B618: ** 14.0%
B619: ** 14.0%
B620:  0.0%
B621:  0.0%
B622: ***** 28.0%
B623:  0.0%
B624: ** 14.0%
B625: ***** 28.0%
B626:  0.0%
B627: ** 14.0%
B628: ** 14.0%
B629: ******** 42.0%
B630: ** 14.0%
B631:  0.0%
B632:  0.0%
B633: ***** 28.0%
B634:  0.0%
B635: ** 14.0%
B636: ** 14.0%
B637: ******** 42.0%
B638: ******** 42.0%
B639: ** 14.0%
B640:  0.0%
B641:  0.0%
B642: ** 14.0%
B643:  0.0%
B644:  0.0%
B645: ******** 42.0%
B646:  0.0%
B647: ** 14.0%
B648:  0.0%
B649:  0.0%
B650: ***** 28.0%
B651: ** 14.0%
B652: ** 14.0%
B653: ** 14.0%
B654:  0.0%
B655: ** 14.0%
B656:  0.0%
B657:  0.0%
B658: ** 14.0%
B659: ***** 28.0%
B660: ******** 42.0%
B661: ******** 42.0%
B662: ** 14.0%
B663: ***** 28.0%
B664: ** 14.0%
B665:  0.0%
B666: ***** 28.0%
B667:  0.0%
B668: ** 14.0%
B669: ** 14.0%
B670: ***** 28.0%
B671:  0.0%
B672: ** 14.0%
B673: ***** 28.0%
B674:  0.0%
B675:  0.0%
B676: ** 14.0%
B677: ** 14.0%
B678:  0.0%
B679:  0.0%
B680: ** 14.0%
B681: ** 14.0%
B682:  0.0%
B683: ******** 42.0%
B684: ** 14.0%
B685: ******** 42.0%
B686: ***** 28.0%
B687: ** 14.0%
B688: ** 14.0%
B689:  0.0%
B690: ***** 28.0%
B691:  0.0%
B692:  0.0%
B693:  0.0%
B694: ***** 28.0%
B695: ***** 28.0%
B696:  0.0%
B697:  0.0%
B698: ******** 42.0%
B699:  0.0%
B700:  0.0%
B701:  0.0%
B702: ***** 28.0%
B703:  0.0%
B704: ***** 28.0%
B705: ***** 28.0%
B706: ** 14.0%
B707: ** 14.0%
B708: ** 14.0%
B709:  0.0%
B710:  0.0%
B711: ** 14.0%
B712: ** 14.0%
B713: ** 14.0%
B714: ** 14.0%
B715: ** 14.0%
B716: ** 14.0%
B717: ***** 28.0%
B718: ***** 28.0%
B719: ** 14.0%
B720: ** 14.0%
